y,q,u,(uer=UnEmployment Rate)
2000,1,6.3,(unit=percent)
2000,2,4.7,(source=National Statistical Office)
2000,3,4.6,y=year
2000,4,4.7,q=quarter
2001,1,6.1,"u=unemployment rate, unit: %"
2001,2,4.6,
2001,3,4.2,
2001,4,4.2,
2002,1,4.9,
2002,2,4.1,
2002,3,4,
2002,4,4.3,
2003,1,4.9,
2003,2,4.4,
2003,3,4.4,
2003,4,4.7,
2004,1,5,
2004,2,4.3,
2004,3,4.7,
2004,4,4.7,
2005,1,5.3,
2005,2,4.7,
2005,3,4.6,
2005,4,4.5,
2006,1,5.1,
2006,2,4.3,
2006,3,4.3,
2006,4,4.4,
2007,1,4.5,
2007,2,3.9,
2007,3,3.8,
2007,4,4,
2008,1,4.3,
2008,2,3.8,
2008,3,3.8,
2008,4,3.8,
2009,1,4.7,
2009,2,4.8,
2009,3,4.5,
2009,4,4.1,
2010,1,5.7,
2010,2,4.5,
2010,3,4.4,
2010,4,4.3,
2011,1,5.2,
2011,2,4.7,
2011,3,4.3,
2011,4,4.1,
2012,1,5,
2012,2,4.2,
2012,3,4.1,
2012,4,3.5,
2013,1,4.5,
2013,2,4.2,
2013,3,3.6,
2013,4,3.5,
2014,1,4.5,
2014,2,4.7,
2014,3,4.4,
2014,4,4.2,
